  1, 0.661, 0.648
  2, 0.734, 0.726
  3, 0.747, 0.741
  4, 0.719, 0.707
  5, 0.769, 0.760
  6, 0.788, 0.783
  7, 0.775, 0.767
  8, 0.782, 0.773
  9, 0.786, 0.776
 10, 0.800, 0.793
 11, 0.812, 0.808
 12, 0.781, 0.777
 13, 0.802, 0.797
 14, 0.800, 0.794
 15, 0.809, 0.805
 16, 0.792, 0.783
 17, 0.808, 0.802
 18, 0.794, 0.785
 19, 0.820, 0.816
 20, 0.801, 0.792
 21, 0.809, 0.806
 22, 0.821, 0.817
 23, 0.797, 0.793
 24, 0.809, 0.806
 25, 0.813, 0.809
 26, 0.815, 0.808
 27, 0.818, 0.810
 28, 0.820, 0.816
 29, 0.814, 0.808
 30, 0.817, 0.812
